latitude,longitude,label
31.042259999999999,-88.04305500000001,2
30.782129999999999,-89.138099999999994,1
30.77824,-88.259169999999997,1
30.39603,-88.885310000000004,1
30.556079999999998,-88.213989999999995,4
30.540469999999999,-88.687520000000006,1
31.023790000000002,-87.493870000000001,1
30.678995,-87.746967500000011,4
30.789244000000004,-88.062554000000006,5
30.903244999999998,-88.622105000000005,2
30.600470000000001,-87.907399999999996,3
30.255479999999999,-88.109719999999996,1
30.388672500000002,-87.670472499999988,4
31.527940000000001,-87.324709999999996,1
31.797767999999998,-87.915838000000008,5
