latitude,longitude,label
42.376150000000003,-85.455010000000001,1
41.799219999999998,-85.419150000000002,1
42.220869999999998,-86.369470000000007,1
41.841160000000002,-85.668599999999998,1
42.289209999999997,-85.550285000000002,2
42.109760000000001,-86.480019999999996,1
42.440040000000003,-85.648899999999998,1
42.312539999999998,-86.113079999999997,1
42.029074999999999,-85.635135000000005,2
41.916195000000002,-85.954094999999995,2
42.186149999999998,-86.308359999999993,1
42.430170000000004,-86.260445000000004,2
42.289344999999997,-85.885289999999998,2
