latitude,longitude,label
20.405092500000002,-156.1532575,8
39.589129999999997,-119.93378999999999,12
37.658830625000007,-120.938438125,16
34.680562500000001,-118.78810499999999,11
38.755635333333331,-121.48097600000003,29
35.058803999999995,-116.25959600000002,5
39.222084615384617,-119.38694461538459,10
32.738641111111114,-116.72877444444445,4
39.547194545454545,-123.00344363636363,10
33.863086595744676,-117.91945787234043,48
37.644647659574481,-122.13573234042552,49
33.99894529411764,-117.10966058823531,17
32.958230588235288,-117.18581705882353,22
36.455359047619048,-119.76369952380954,21
21.394241666666669,-157.95883833333332,12
