latitude,longitude,label
44.668575416666663,-123.21056791666666,25
46.763349411764707,-119.78870411764706,17
43.945052999999994,-116.58527700000002,10
62.586275384615384,-150.59346615384612,13
46.759125238095237,-123.19739952380954,21
42.286609999999996,-122.55825799999998,10
43.115900833333342,-123.77687166666665,12
43.826748333333342,-121.05990249999998,12
48.38979545454545,-122.37157999999998,22
47.11746258064516,-122.375514516129,31
47.500829259259262,-116.99634444444446,27
58.109999999999999,-135.4436,1
47.359495882352945,-114.21326882352943,17
47.655869649122792,-122.26819543859645,57
45.491756760563376,-122.67801126760561,70
