latitude,longitude,label
38.33285173913044,-107.97817695652175,23
40.461145384615371,-111.98691115384614,26
32.546905454545453,-106.51136272727273,11
33.623101707317076,-112.01510853658534,41
32.357650416666672,-110.28047500000002,24
35.868649090909088,-114.35659545454546,11
43.428329999999995,-112.41191352941176,17
46.208413636363623,-112.03176045454546,22
35.257459199999992,-106.4554572,25
42.018370000000004,-107.96688999999999,8
44.780247142857142,-104.1926207142857,14
45.938275714285723,-108.73805357142855,14
38.98740999999999,-102.16148166666666,6
40.046452638888894,-104.98755680555554,72
38.225942173913047,-104.98792347826087,23
