latitude,longitude,label
46.449008181818179,-87.863386818181823,22
43.061639111111113,-89.261640666666665,45
42.277891111111103,-88.064937407407399,54
41.875186666666671,-89.043666190476173,21
45.65523703703704,-89.892909629629628,27
44.291769189189182,-88.13879972972974,37
44.195207812500009,-89.552057499999989,32
41.753348906250011,-88.072917968749991,64
41.650585263157893,-90.198034210526302,19
43.030103124999997,-90.442740624999999,16
43.084706304347826,-88.268323913043503,46
44.126537333333339,-91.03019333333333,15
40.290047692307695,-88.984291923076924,26
41.570639999999997,-91.479620999999995,20
41.455558333333336,-87.495532222222209,36
