latitude,longitude,label
36.251808928571428,-85.349987142857145,28
37.8685975,-87.169108749999978,24
38.711970000000008,-88.409315000000007,14
39.274315500000007,-86.157240499999972,40
39.948807555555547,-87.010724888888888,45
36.23909945454546,-86.764884727272715,55
37.528338965517236,-86.18249413793103,29
37.849359189189194,-84.58749216216215,37
40.04423821428572,-85.716848750000025,56
37.710328928571428,-83.513210357142867,28
39.004152105263159,-84.52375140350874,57
38.24506822222223,-85.603616222222243,45
39.744312096774188,-84.289843709677427,62
36.587113448275865,-87.968800689655183,29
36.075474199999988,-83.954815400000001,50
